행정구역,아파트매매가격,총인구,요양기관수,교원1인당 학생수,인구 천명당 사설학원수,지하철역 개수,대규모 점포 개수,1세대당 주차 대수,단지당 동수, 노후 아파트 비율,아파트 평균 면적,공공도서관 개수,공원 개수
종로구,796452451.0,161869.0,668.0,17.68,1.7,15.0,20.0,0.9623999999999999,5.130434782608695,0.447265625,144.73204985119048,60.0,12.0
중구,797815196.0,136488.0,728.0,18.4,0.9,23.0,59.0,1.093888888888889,5.714285714285714,0.254337520160305,141.59865109232197,48.0,5.0
용산구,1522558519.0,245185.0,435.0,14.81,0.7,10.0,23.0,1.3659322033898302,5.933333333333334,0.5283807269903487,191.16680841622602,40.0,2.0
성동구,964993227.0,308979.0,593.0,16.51,1.0,14.0,22.0,0.9995283018867922,6.839622641509434,0.3059438608795448,137.40370116518164,35.0,5.0
광진구,926666959.0,366972.0,723.0,19.95,1.2,11.0,26.0,1.0936507936507935,4.317460317460317,0.7440199789284738,144.00612635111406,40.0,2.0
동대문구,584358482.0,363023.0,832.0,22.69,1.1,6.0,33.0,0.9448387096774191,6.565217391304348,0.20628845865225875,145.8800090049527,54.0,4.0
중랑구,444803913.0,402024.0,689.0,14.97,0.7,8.0,14.0,0.9572727272727274,5.685393258426966,0.6180506797727708,122.59328524925002,54.0,6.0
성북구,585457044.0,454744.0,729.0,21.28,1.0,9.0,42.0,0.9221138211382114,8.795081967213115,0.25964580625681016,148.24403660089533,75.0,3.0
강북구,468050897.0,317695.0,628.0,13.1,0.7,3.0,22.0,0.8135897435897436,8.58974358974359,0.4197457438108691,126.47174931231879,54.0,4.0
도봉구,406143782.0,335631.0,485.0,14.45,1.0,3.0,15.0,0.8539393939393939,6.448979591836735,0.7897287305790078,111.21666583404107,42.0,6.0
노원구,443986353.0,537303.0,952.0,18.01,1.4,13.0,19.0,0.7568627450980392,7.3399014778325125,0.8322613208401817,95.23544231095563,57.0,2.0
은평구,523477005.0,484546.0,874.0,13.19,1.1,13.0,29.0,1.1137962962962966,7.440366972477064,0.17742820945945945,155.60194256756756,83.0,7.0
서대문구,680452121.0,323171.0,587.0,19.74,1.1,5.0,12.0,0.9162162162162164,7.783783783783784,0.41237794738413,133.21662473883939,38.0,4.0
마포구,918209533.0,385925.0,929.0,18.75,1.8,16.0,30.0,1.0307079646017705,6.824561403508772,0.2743083261411194,137.67253985572148,52.0,5.0
양천구,846558855.0,462285.0,816.0,13.71,2.3,5.0,26.0,0.9549565217391305,8.526315789473685,0.6023681602420322,127.05946481665015,57.0,5.0
강서구,603490664.0,598273.0,1080.0,13.23,1.2,10.0,27.0,0.9798692810457518,6.908496732026144,0.6494827222183124,121.43746920965586,78.0,9.0
구로구,510344980.0,439371.0,741.0,15.86,1.0,7.0,38.0,0.948650793650794,6.424,0.48226152278706225,128.07943918127765,98.0,4.0
금천구,433363487.0,251820.0,475.0,11.53,1.0,1.0,23.0,0.9146153846153848,6.0256410256410255,0.46140478499838344,122.50941642418364,29.0,4.0
영등포구,766958534.0,400986.0,1001.0,11.9,1.2,11.0,39.0,1.0163945578231286,5.013513513513513,0.5267382063553402,136.4492729700935,60.0,5.0
동작구,853966238.0,408912.0,762.0,20.01,1.2,12.0,16.0,1.006190476190476,6.476190476190476,0.42750257531671876,139.30394159000957,59.0,7.0
관악구,535694196.0,517334.0,909.0,12.04,0.9,4.0,23.0,0.8603124999999999,7.225806451612903,0.3465416013660499,122.11742415382096,61.0,2.0
서초구,1658633215.0,435107.0,1465.0,11.44,2.6,12.0,29.0,1.175217391304348,6.695652173913044,0.4365482903894663,160.30601302183072,77.0,6.0
강남구,1800827692.0,550209.0,3088.0,13.3,4.2,21.0,50.0,1.1118686868686871,8.22872340425532,0.5306455352411235,137.66006466925234,61.0,7.0
송파구,1201709962.0,682741.0,1527.0,13.16,1.6,29.0,45.0,1.093984375,10.62015503875969,0.46220415599594367,142.23778381258487,83.0,7.0
강동구,737787695.0,440390.0,1023.0,12.79,1.5,12.0,24.0,0.9527184466019423,8.188118811881187,0.2959636489251455,134.73917838067652,57.0,7.0
