"행정구역별",2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4,2020 2/4,2020 3/4,2020 4/4
"종로구",665,670,674,668,670,674,675,675
"중구",725,726,729,728,741,744,742,742
"용산구",434,433,437,435,434,432,432,437
"성동구",585,588,590,593,595,601,606,606
"광진구",721,721,724,723,727,726,733,729
"동대문구",835,838,836,832,831,832,824,821
"중랑구",672,678,687,689,701,700,707,714
"성북구",725,730,731,729,730,738,742,742
"강북구",619,624,624,628,630,631,632,636
"도봉구",481,483,482,485,488,491,492,488
"노원구",948,946,950,952,954,955,960,963
"은평구",863,868,871,874,879,877,883,895
"서대문구",582,585,587,587,591,593,594,592
"마포구",915,923,929,929,937,935,940,945
"양천구",815,815,815,816,824,828,827,826
"강서구",1047,1073,1078,1080,1101,1106,1116,1116
"구로구",743,742,742,741,753,756,761,758
"금천구",472,471,473,475,479,478,478,477
"영등포구",996,997,1000,1001,1005,1019,1029,1037
"동작구",756,755,760,762,773,778,780,781
"관악구",904,907,908,909,913,920,925,928
"서초구",1439,1448,1466,1465,1475,1478,1486,1493
"강남구",3026,3054,3072,3088,3108,3125,3150,3160
"송파구",1489,1508,1515,1527,1551,1557,1567,1577
"강동구",1004,1003,1003,1023,1040,1051,1051,1069
